Time,Value,MEASURE,Description
2009,1229916,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,1303070,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,1306052,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,1306130,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,1264299,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,563416,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,251944,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,2050755,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,2124763,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,2132566,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,2141382,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,2079659,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,205733,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,245284,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,198807,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,191949,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,161293,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,74091,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,78590,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,76482,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,77119,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,68057,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,19966,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,19526,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,19558,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,19125,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,9877,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,299790,CABEE_10,Business Entries - Total number of business entries (no.)
2010,343400,CABEE_10,Business Entries - Total number of business entries (no.)
2011,294847,CABEE_10,Business Entries - Total number of business entries (no.)
2012,288193,CABEE_10,Business Entries - Total number of business entries (no.)
2013,239227,CABEE_10,Business Entries - Total number of business entries (no.)
2009,241227,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,199503,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,219605,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,212161,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,227600,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,55068,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,48692,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,48443,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,48292,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,59484,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,24058,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,21138,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,19087,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,18853,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,13686,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,320353,CABEE_15,Business Exits - Total number of business exits (no.)
2010,269333,CABEE_15,Business Exits - Total number of business exits (no.)
2011,287135,CABEE_15,Business Exits - Total number of business exits (no.)
2012,279306,CABEE_15,Business Exits - Total number of business exits (no.)
2013,300770,CABEE_15,Business Exits - Total number of business exits (no.)
