Time,Value,MEASURE,Description
2009,22286,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,23288,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,23119,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,23068,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,22403,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,9485,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,5596,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,37938,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,38951,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,38767,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,38658,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,37484,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,3048,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,3692,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,2883,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,2770,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,2347,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,980,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,1060,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,1051,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,980,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,918,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,413,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,413,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,409,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,369,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,220,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,4441,CABEE_10,Business Entries - Total number of business entries (no.)
2010,5165,CABEE_10,Business Entries - Total number of business entries (no.)
2011,4343,CABEE_10,Business Entries - Total number of business entries (no.)
2012,4119,CABEE_10,Business Entries - Total number of business entries (no.)
2013,3485,CABEE_10,Business Entries - Total number of business entries (no.)
2009,3813,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,3039,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,3378,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,3236,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,3485,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,792,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,690,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,745,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,689,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,864,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,494,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,423,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,404,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,375,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,296,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,5099,CABEE_15,Business Exits - Total number of business exits (no.)
2010,4152,CABEE_15,Business Exits - Total number of business exits (no.)
2011,4527,CABEE_15,Business Exits - Total number of business exits (no.)
2012,4300,CABEE_15,Business Exits - Total number of business exits (no.)
2013,4645,CABEE_15,Business Exits - Total number of business exits (no.)
2009,6523,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2010,6477,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2011,6279,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,6123,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,5919,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2009,113,CABEE_28,Number of Businesses by Industry - Mining (no.)
2010,122,CABEE_28,Number of Businesses by Industry - Mining (no.)
2011,136,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,134,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,121,CABEE_28,Number of Businesses by Industry - Mining (no.)
2009,1798,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2010,1779,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2011,1737,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,1692,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,1649,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2009,110,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
